Name,Date,Link,Location,Status,Notes,Column
Bus to Guadalajara,"Oct 17, 2019 1:00 PM (CDT)",,https://goo.gl/maps/v5RLst75FGudr3cy9,Paid,,Texas%20Trip%2078477a2eac1d4646a2cdc3d23a3cec69/ZACGDL_BoardingPass.pdf
AirBnB in Guadalajara,"Oct 17, 2019 → Oct 18, 2019",https://www.airbnb.com/trips/v1/5227720e-350f-4312-a782-9c05f9c503eb/ro/RESERVATION2_CHECKIN/HMADD34X5C/g,https://goo.gl/maps/yn9jPfJ1taM9gdtj8,Paid,,Texas%20Trip%2078477a2eac1d4646a2cdc3d23a3cec69/Airbnb-Guadalajara.pdf
Check in for flight,"Oct 18, 2019 9:25 AM (CDT)",,,,,
Flight to DFW,"Oct 18, 2019 12:25 PM-2:50 PM",https,,Paid,Reservation P6BFRV,Texas%20Trip%2078477a2eac1d4646a2cdc3d23a3cec69/Itinerary_P6BFRV.pdf
Car Rental,"Oct 18, 2019 3:30 PM (CDT)",,,Paid,Reservation 15414030MX2,Texas%20Trip%2078477a2eac1d4646a2cdc3d23a3cec69/Budget_Car_Rental.pdf
Weekend with Philip and Shelley,"Oct 18, 2019 → Oct 20, 2019",,,,,
AirBnB in Fort Worth,"Oct 20, 2019 → Oct 25, 2019",https://www.airbnb.com/trips/v1/493c1539-70f3-4e95-af9f-28a65fae1565,https://goo.gl/maps/jH8DnqrpbAmbF9226,Paid,,Texas%20Trip%2078477a2eac1d4646a2cdc3d23a3cec69/Airbnb-Fort-Worth.pdf
Return Car,"Oct 25, 2019 1:00 PM (CDT)",,,,,
Flight DFW > Guadalajara,"Oct 25, 2019 4:38 PM-7:12 PM",,,Paid,,
AirBnB in Guadalajara,"Oct 25, 2019 → Oct 26, 2019",,,Paid,,
Bus to Zacatecas,"Oct 26, 2019",,,Paid,,Texas%20Trip%2078477a2eac1d4646a2cdc3d23a3cec69/Pase_de_Abordar.pdf