Name,Created,Tags,URL
Memoir vs Fiction,"Oct 14, 2020 8:16 AM","Memoir, Writing",
CBT for ADHD,"Oct 9, 2020 10:16 AM","ADHD, CBT",
Black and White Thinking,"Oct 9, 2020 10:10 AM","ADHD, Religion",
Setapp,"Oct 9, 2020 8:31 AM",Apps,
The Glorious Revolution,"Oct 7, 2020 3:21 PM","History, Monarchy",
Things to Track,"Oct 7, 2020 3:20 PM",Tracking,
2-5-1 Chord Progression,"Oct 7, 2020 3:20 PM",Music,
ZettelKasten Hubs,"Oct 7, 2020 3:19 PM",Zettelkasten,
ZettelKasten Ideas/Plans,"Oct 7, 2020 3:19 PM",Zettelkasten,
Atomicity,"Oct 7, 2020 3:19 PM",Zettelkasten,
How to Take Smart Notes,"Oct 7, 2020 3:19 PM",Zettelkasten,
Islamic World,"Oct 7, 2020 3:18 PM","History, Religion",
The War of Spanish Succession,"Oct 7, 2020 3:18 PM","History, Monarchy",
ZettelKästen Method,"Oct 7, 2020 3:18 PM",Zettelkasten,
Philosophical Meditation,"Oct 7, 2020 3:17 PM","Meditation, Philosophy",
Information Addiction: Breaking Dopamine Loops,"Oct 7, 2020 3:17 PM",Addiction,
Idea Debt,"Oct 7, 2020 3:17 PM","Decluttering, Organization",
Collector's Fallacy,"Oct 7, 2020 3:16 PM",Zettelkasten,
Zettelkasten — How One German Scholar Was So Freakishly Productive,"Oct 7, 2020 3:15 PM",Zettelkasten,
ADHD Time Management,"Oct 7, 2020 3:14 PM",ADHD,
Autonomy,"Oct 7, 2020 3:14 PM",Zettelkasten,
Why Plain Text Matters,"Oct 7, 2020 3:13 PM",Text,
It's OK to Take Notes by Typing!,"Oct 7, 2020 3:11 PM",Typing,
Writing - Analog vs. Digital,"Oct 7, 2020 3:11 PM","Analog, Digital, Note-taking",
IDEAL ZETTELKASTEN,"Oct 7, 2020 3:07 PM",Zettelkasten,
Spiritual/Other Pursuits,"Nov 12, 2019 12:51 PM",Spirituality,
Random_Thoughts,"Sep 19, 2019 12:32 PM",Religion,
House-of-Habsburg,"Jan 7, 2021 5:09 PM","History, Monarchy",
Influenza-Notes,"Jan 7, 2021 5:09 PM",COVID,
materialism,"Jan 7, 2021 5:09 PM",Philosophy,
monism,"Jan 7, 2021 5:09 PM",Philosophy,
Recovering-Lifehacker,"Jan 7, 2021 5:09 PM","ADHD, Organization, Productivity",
Rootless-Voicings,"Jan 7, 2021 5:09 PM",Music,
Spanish-conversation,"Jan 7, 2021 5:09 PM",Spanish,
Knowledge Synthesis,"Jan 10, 2021 7:18 AM",,https://twitter.com/JoelChan86/status/1348097856696184833/photo/1